iter	Passed	Remaining
455	960	1146
456	961	1142
457	962	1138
458	963	1135
459	963	1131
460	964	1128
461	965	1124
462	966	1120
463	966	1116
464	967	1113
465	970	1111
466	971	1108
467	972	1105
468	972	1101
469	973	1098
470	975	1095
471	975	1091
472	976	1088
473	977	1084
474	978	1081
475	981	1080
476	985	1080
477	986	1077
478	987	1074
479	988	1071
480	989	1068
481	990	1064
482	991	1060
483	991	1057
484	993	1054
485	994	1051
486	995	1048
487	1002	1051
488	1003	1048
489	1004	1045
490	1005	1041
491	1008	1041
492	1009	1037
493	1010	1034
494	1011	1031
495	1012	1029
496	1018	1030
497	1019	1027
498	1020	1024
499	1021	1021
500	1022	1018
501	1023	1015
502	1024	1012
503	1025	1009
504	1026	1005
505	1026	1002
506	1027	999
507	1028	995
508	1031	994
509	1032	991
510	1032	988
511	1033	985
512	1034	982
513	1035	978
514	1035	975
515	1036	971
516	1036	968
517	1037	965
518	1039	962
519	1039	959
520	1040	956
521	1041	953
522	1042	950
523	1043	947
524	1045	945
525	1046	942
526	1047	939
527	1047	936
528	1048	933
529	1050	931
530	1051	928
531	1051	925
532	1052	922
533	1054	919
534	1055	917
535	1055	914
536	1060	914
537	1061	911
538	1063	909
539	1065	907
540	1066	905
541	1069	903
542	1069	900
543	1070	897
544	1071	894
545	1074	893
546	1075	890
547	1076	887
548	1078	885
549	1079	883
550	1080	880
551	1081	877
552	1082	874
553	1082	871
554	1084	869
555	1084	866
556	1085	863
557	1088	862
558	1090	859
559	1090	857
560	1091	854
561	1092	851
562	1092	848
563	1093	845
564	1095	843
565	1096	840
566	1097	837
567	1097	835
568	1099	832
569	1100	830
570	1104	829
571	1105	827
572	1106	824
573	1106	821
574	1107	818
575	1109	816
576	1110	813
577	1110	810
578	1112	808
579	1113	806
580	1113	803
581	1114	800
582	1115	797
583	1118	796
584	1119	794
585	1120	791
586	1120	788
587	1121	785
588	1122	783
589	1122	780
590	1123	777
591	1123	774
592	1124	771
593	1125	769
594	1127	767
595	1128	764
596	1128	762
597	1129	759
598	1132	757
599	1133	755
600	1134	753
601	1135	750
602	1135	747
603	1136	745
604	1136	742
605	1137	739
606	1138	736
607	1140	735
608	1141	733
609	1142	730
610	1144	728
611	1144	725
612	1145	723
613	1147	721
614	1149	719
615	1149	716
616	1150	714
617	1150	711
618	1151	708
619	1152	706
620	1153	703
621	1154	701
622	1154	698
623	1155	696
624	1156	694
625	1157	691
626	1158	689
627	1159	686
628	1159	684
629	1160	681
630	1163	680
631	1164	677
632	1164	675
633	1165	672
634	1166	670
635	1166	667
636	1167	665
637	1167	662
638	1168	660
639	1169	657
640	1169	655
641	1170	652
642	1171	650
643	1172	648
644	1173	645
645	1174	643
646	1175	641
647	1177	639
648	1178	637
649	1179	635
650	1180	632
651	1181	630
652	1181	627
653	1182	625
654	1182	623
655	1183	620
656	1184	618
657	1185	616
658	1186	613
659	1187	611
660	1188	609
661	1188	607
